NAME,A (au),PER (days),ECC,STAR,RSTAR (Rsun),MSTAR (Msun),MASS (Mjup)
Kepler-107 d,0.0780099,7.958203,10000,Kepler-107,1.411,10000,0.00371234
Kepler-50 b,0.0825598,7.8125124,10000,Kepler-50,1.88,1.23,0.0164915
Kepler-181 b,0.0419466,3.137873,10000,Kepler-181,0.749,10000,0.00674351
Kepler-207 b,0.0269045,1.611865,10000,Kepler-207,1.588,10000,0.0117295
Kepler-284 c,0.219317,37.514456,10000,Kepler-284,0.814,10000,0.0210192
Kepler-239 b,0.101225,11.763051,10000,Kepler-239,0.763,10000,0.0177874
Kepler-408 b,0.0366405,2.46502,10000,Kepler-408,1.23,1.08,0.000699655
Kepler-174 b,0.113583,13.98179,10000,Kepler-174,0.622,10000,0.014454
K2-6 b,0.19095,30.9446,10000,K2-6,0.96,0.97,0.0213284
Kepler-224 d,0.0988375,11.349393,10000,Kepler-224,0.676,10000,0.0174811
Kepler-389 c,0.116434,14.51143,10000,Kepler-389,0.792,10000,0.0107805
Kepler-254 c,0.104915,12.412183,10000,Kepler-254,0.91,10000,0.0160511
Kepler-236 c,0.162691,23.968127,10000,Kepler-236,0.51,10000,0.0147725
Kepler-211 c,0.0649112,6.04045,10000,Kepler-211,0.816,10000,0.00711292
Kepler-294 c,0.0690438,6.6264,10000,Kepler-294,0.976,10000,0.0223552
Kepler-263 c,0.256083,47.332773,10000,Kepler-263,0.785,10000,0.019315
Kepler-349 b,0.0641159,5.929778,10000,Kepler-349,0.927,10000,0.0139923
Kepler-361 b,0.081426,8.486616,10000,Kepler-361,1.343,10000,0.010538
Kepler-318 c,0.101523,11.815007,10000,Kepler-318,1.189,10000,0.0419521
Kepler-372 b,0.0705863,6.849692,10000,Kepler-372,1.137,10000,0.00850717
Kepler-197 e,0.168262,25.209715,10000,Kepler-197,1.12,10000,0.00208313
Kepler-405 c,0.187804,29.726682,10000,Kepler-405,0.893,10000,0.071727
Kepler-26 d,0.0454914,3.543919,10000,Kepler-26,0.571,10000,0.00371234
Kepler-159 b,0.0916828,10.139623,10000,Kepler-159,0.663,10000,0.0183139
Kepler-221 e,0.136253,18.369917,10000,Kepler-221,0.821,10000,0.0212781
Kepler-256 c,0.0441473,3.38802,10000,Kepler-256,1.301,10000,0.0160511
Kepler-276 b,0.114376,14.12841,10000,Kepler-276,1.046,10000,0.0247188
Kepler-143 b,0.124306,16.007583,10000,Kepler-143,1.359,10000,0.0186399
Kepler-189 c,0.144846,20.134866,10000,Kepler-189,0.75,10000,0.0183139
Kepler-281 b,0.117153,14.646008,10000,Kepler-281,0.899,10000,0.0239491
Kepler-196 c,0.256426,47.427737,10000,Kepler-196,0.782,10000,0.0168894
Kepler-238 c,0.0657332,6.155557,10000,Kepler-238,1.43,10000,0.0184218
Kepler-49 c,0.07889,10.9129343,10000,Kepler-49,0.53,0.55,0.0202381
Kepler-55 c,0.202122,42.1516418,10000,Kepler-55,0.58,0.62,0.016585
Kepler-204 c,0.170262,25.660593,10000,Kepler-204,1.238,10000,0.0131908
Kepler-374 c,0.0432285,3.282807,10000,Kepler-374,0.911,10000,0.00409374
Kepler-395 b,0.0719854,7.054346,10000,Kepler-395,0.556,10000,0.00324127
K2-16 b,0.0666347,7.6188,10000,K2-16,0.66,0.68,0.015254
Kepler-80 e,0.0544864,4.645387,10000,Kepler-80,0.637,10000,0.0121773
Kepler-83 d,0.0585134,5.169796,10000,Kepler-83,0.594,10000,0.014298
Kepler-167 b,0.0481157,4.393147,10000,Kepler-167,0.726,0.77,0.010538
Kepler-295 d,0.204929,33.884054,10000,Kepler-295,0.898,10000,0.00850717
Kepler-337 b,0.043316,3.292781,10000,Kepler-337,1.761,10000,0.0115417
Kepler-226 d,0.0789926,8.109044,10000,Kepler-226,0.802,10000,0.00587447
Kepler-386 b,0.104341,12.31043,10000,Kepler-386,0.767,10000,0.00915403
Kepler-363 c,0.0752686,7.542427,10000,Kepler-363,1.485,10000,0.0125062
Kepler-24 d,0.0513038,4.244384,10000,Kepler-24,1.289,10000,0.0123736
Kepler-402 c,0.0655142,6.124821,10000,Kepler-402,1.264,10000,0.0116666
Kepler-127 c,0.186396,29.393195,10000,Kepler-127,1.359,10000,0.0216742
Kepler-203 c,0.0600193,5.370647,10000,Kepler-203,1.114,10000,0.019315
Kepler-202 b,0.0498841,4.069427,10000,Kepler-202,0.667,10000,0.0121124
Kepler-208 e,0.125606,16.259458,10000,Kepler-208,1.314,10000,0.0112762
Kepler-270 c,0.168498,25.262887,10000,Kepler-270,1.461,10000,0.0130508
Kepler-225 c,0.138343,18.794234,10000,Kepler-225,0.48,10000,0.0135483
Kepler-150 d,0.105752,12.56093,10000,Kepler-150,0.939,10000,0.0235009
Kepler-405 b,0.0945195,10.613839,10000,Kepler-405,0.893,10000,0.015437
Kepler-208 b,0.0511769,4.22864,10000,Kepler-208,1.314,10000,0.0121124
Kepler-325 d,0.223972,38.715185,10000,Kepler-325,1.003,10000,0.0235009
Kepler-340 c,0.157474,22.824669,10000,Kepler-340,1.85,10000,0.0341953
Kepler-257 b,0.0349126,2.382667,10000,Kepler-257,1.037,10000,0.0210192
K2-95 b,0.0652569,10.13389,10000,K2-95,0.402,0.361,0.0378756
Kepler-162 b,0.0710671,6.919798,10000,Kepler-162,0.958,10000,0.00656354
K2-21 b,0.0747146,9.32414,10000,K2-21,0.6,0.64,0.011856
Kepler-262 c,0.152976,21.853722,10000,Kepler-262,0.881,10000,0.0121773
Kepler-222 b,0.0487958,3.936981,10000,Kepler-222,0.869,10000,0.0297967
Kepler-334 b,0.0607596,5.470319,10000,Kepler-334,1.068,10000,0.00436179
Kepler-327 c,0.0588339,5.212333,10000,Kepler-327,0.492,10000,0.00324127
Kepler-57 c,0.0942979,11.6092567,10000,Kepler-57,0.73,0.83,0.0115953
K2-35 b,0.0320135,2.39984,10000,K2-35,0.72,0.76,0.00999738
Kepler-172 c,0.0673847,6.388996,10000,Kepler-172,1.085,10000,0.0245625
Kepler-400 c,0.131115,17.340824,10000,Kepler-400,1.145,10000,0.0115291
Kepler-220 e,0.250899,45.902733,10000,Kepler-220,0.666,10000,0.00789025
Kepler-177 b,0.221683,36.855,10000,Kepler-177,1.07,1.07,10000
Kepler-198 c,0.264081,49.567416,10000,Kepler-198,0.94,10000,0.019315
Kepler-65 b,0.0351719,2.15491,10000,Kepler-65,1.41,1.25,0.0105382
Kepler-249 b,0.0434366,3.306539,10000,Kepler-249,0.482,10000,0.00396389
Kepler-165 b,0.0794582,8.180848,10000,Kepler-165,0.77,10000,0.0176845
Kepler-118 c,0.145024,20.17202,10000,Kepler-118,1.094,10000,0.184717
Kepler-122 e,0.221179,37.993273,10000,Kepler-122,1.216,10000,0.0208911
Kepler-400 b,0.0848304,9.024389,10000,Kepler-400,1.145,10000,0.0122424
K2-3 b,0.0769351,10.05403,10000,K2-3,0.561,0.601,0.0163773
Kepler-368 b,0.175473,26.84768,10000,Kepler-368,2.019,10000,0.0318107
Kepler-335 b,0.0685981,6.562331,10000,Kepler-335,1.854,10000,0.0346488
Kepler-316 b,0.0335097,2.240508,10000,Kepler-316,0.52,10000,0.00359062
Kepler-338 b,0.112199,13.726976,10000,Kepler-338,1.735,10000,0.0189734
WASP-167 b,0.0359649,2.0219596,10000,WASP-167,1.756,1.518,1
Kepler-129 b,0.123186,15.79186,10000,Kepler-129,1.641,10000,0.0182069
Kepler-306 d,0.131044,17.326644,10000,Kepler-306,0.719,10000,0.019315
Kepler-107 b,0.0423212,3.179997,10000,Kepler-107,1.411,10000,0.0116666
GJ 9827 b,0.0188775,1.2089802,10000,GJ 9827,0.613,0.614,0.0107839
Kepler-158 c,0.18282,28.551383,10000,Kepler-158,0.624,10000,0.0139923
Kepler-145 c,0.263015,42.882,10000,Kepler-145,1.85,1.32,10000
Kepler-357 c,0.128672,16.85837,10000,Kepler-357,0.834,10000,0.0218083
TRAPPIST-1 c,0.0157578,2.42180746,10000,TRAPPIST-1,0.121,0.089,0.003637
Kepler-53 d,0.0893308,9.751962,10000,Kepler-53,0.958,10000,0.0157841
Kepler-42 c,0.00585017,0.45328509,10000,Kepler-42,0.17,0.13,0.000954523
Kepler-275 d,0.212092,35.676062,10000,Kepler-275,1.383,10000,0.0333072
Kepler-52 b,0.0630945,7.8773565,10000,Kepler-52,0.52,0.54,0.015593
Kepler-370 b,0.0539702,4.57953,10000,Kepler-370,0.9,10000,0.011856
K2-5 c,0.0780146,10.93241,10000,K2-5,0.52,0.53,0.0155133
Kepler-124 c,0.112713,13.821375,10000,Kepler-124,0.636,10000,0.0129124
Kepler-184 c,0.145651,20.303005,10000,Kepler-184,0.873,10000,0.0145328
Kepler-318 b,0.0546218,4.662715,10000,Kepler-318,1.189,10000,0.0733215
Kepler-198 b,0.13337,17.790037,10000,Kepler-198,0.94,10000,0.0239491
Kepler-216 b,0.0762713,7.693641,10000,Kepler-216,1.26,10000,0.0179955
Kepler-292 d,0.0719945,7.055679,10000,Kepler-292,0.826,10000,0.0167934
Kepler-53 b,0.136705,18.6489525,10000,Kepler-53,0.89,0.98,0.0249941
Kepler-221 c,0.0623799,5.690586,10000,Kepler-221,0.821,10000,0.0256819
Kepler-147 b,0.10603,12.610584,10000,Kepler-147,1.468,10000,0.0125754
Kepler-171 b,0.0506781,4.166972,10000,Kepler-171,0.839,10000,0.0178911
Kepler-330 b,0.0799685,8.25978,10000,Kepler-330,0.722,10000,0.00829825
Kepler-229 b,0.0664249,6.252972,10000,Kepler-229,0.728,10000,0.0165098
Kepler-144 c,0.0914719,10.104665,10000,Kepler-144,1.235,10000,0.00829825
Kepler-115 c,0.0846204,8.990889,10000,Kepler-115,1.205,10000,0.0208911
Kepler-320 c,0.134093,17.934937,10000,Kepler-320,1.108,10000,0.00871939
Kepler-274 c,0.202153,33.197861,10000,Kepler-274,1.007,10000,0.0135483
Kepler-26 e,0.254259,46.827915,10000,Kepler-26,0.571,10000,0.0186399
Kepler-254 d,0.138108,18.746477,10000,Kepler-254,0.91,10000,0.0196646
Kepler-264 b,0.231966,40.806231,10000,Kepler-264,1.55,10000,0.0333072
Kepler-122 c,0.105218,12.465988,10000,Kepler-122,1.216,10000,0.115399
Kepler-142 b,0.0313162,2.024152,10000,Kepler-142,1.269,10000,0.014692
Kepler-240 c,0.0779794,7.953528,10000,Kepler-240,0.739,10000,0.0165098
Kepler-298 b,0.0936962,10.475464,10000,Kepler-298,0.582,10000,0.014454
Kepler-363 d,0.102192,11.932125,10000,Kepler-363,1.485,10000,0.0151834
Kepler-177 c,0.26954,49.412,10000,Kepler-177,1.07,1.07,10000
Kepler-215 d,0.192566,30.864423,10000,Kepler-215,1.027,10000,0.0184218
